id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19684812.0000000000000000,21000000.0000000000000000,1260400728541.9757553559301928,12488725992.9463575533966404,64029.0965716094090894,0.9807121628146753,63018.3169779604107659,https://blockchain.info/
ethereum,2,ETH,Ethereum,120071733.9252206000000000,,371391276572.3479221061211171,6799756201.6445022894406831,3093.0783160310357701,-0.0676691744387559,3067.6212607792968859,https://etherscan.io/
tether,3,USDT,Tether,108732462510.7544700000000000,,108839303631.6670551840117292,25203289002.5361617527759028,1.0009826055480167,-0.0228996720059108,1.0010837185618505,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,90116950906.4538692701777972,520837839.8349957473572090,540.2657714709125939,-1.4681284253536652,538.2719437466077828,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,446733698.7496363500000000,,61239896478.1208594601801917,1788254396.3886032507604231,137.0836734491382713,-0.0690622972109821,133.9222570944470128,https://explorer.solana.com/
usd-coin,6,USDC,USDC,32606979419.0935000000000000,,32628516516.6544255635193003,2037785102.1608560582530675,1.0006605057550444,0.0456412827281020,0.9999709398367236,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
dogecoin,7,DOGE,Dogecoin,143916306383.7052600000000000,,22613295767.4431328096741301,851419846.0602072571801436,0.1571280999051786,-0.2746141794842606,0.1542582438867679,http://dogechain.info/chain/Dogecoin
xrp,8,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,22561800988.2774418003217120,721459703.4327867106670938,0.4969118746524833,0.5774385660883130,0.4921548425845343,https://xrpcharts.ripple.com/#/graph/
cardano,9,ADA,Cardano,35615799311.8210000000000000,45000000000.0000000000000000,16326636683.2091875118281716,230147026.5266672037524083,0.4584099472334550,-0.6652284514550851,0.4585104886173884,https://cardanoexplorer.com/
shiba-inu,10,SHIB,Shiba Inu,589289410812691.0000000000000000,,13462562984.2347353670923419,379382983.1808378164072978,0.0000228454181209,4.8312645521033270,0.0000221938470229,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
avalanche,11,AVAX,Avalanche,377922120.7424235000000000,715748719.0000000000000000,13145167130.8273840416113270,249789534.1429320575061941,34.7827407006603899,-0.7068979652174103,34.5400129544567082,https://avascan.info/
wrapped-bitcoin,12,WBTC,Wrapped Bitcoin,155383.7350267000000000,,9951704643.4050249269482840,110354239.6798058549203443,64045.9868061158208047,0.9665843195347067,63259.3154637028823668,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
tron,13,TRX,TRON,87626212195.8319700000000000,,9858146981.8378055582210378,167636270.1717134287129277,0.1125022608509685,0.9799198587101862,0.1109376731724169,https://tronscan.org/#/
bitcoin-cash,14,BCH,Bitcoin Cash,19692375.0000000000000000,21000000.0000000000000000,9561348306.1577030685004875,251787136.7044579579271928,485.5355591267027501,-0.4799695072778600,483.1961636429236253,https://blockchair.com/bitcoin-cash/blocks
polkadot,15,DOT,Polkadot,1353797466.8408800000000000,,9063800608.1632275962061032,122058665.6166238709773007,6.6950934908408651,0.3918446122511052,6.6309063396166178,https://polkascan.io/polkadot
chainlink,16,LINK,Chainlink,587099970.4527867000000000,1000000000.0000000000000000,7873086139.0620921917503875,238346416.2899885485088559,13.4101286583103799,-0.5409687612151649,13.3469553088904678,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
polygon,17,MATIC,Polygon,9894741946.6308290000000000,10000000000.0000000000000000,6950809682.0093751261665476,149841951.6702625048599833,0.7024750841911682,0.0211232166556435,0.7022531380306708,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
litecoin,18,LTC,Litecoin,74430637.3575049300000000,84000000.0000000000000000,5951593221.6732811394686455,273141313.0422292009996052,79.9616049649906013,2.6515014762759870,78.6765326764580386,http://explorer.litecoin.net/chain/Litecoin
near-protocol,19,NEAR,NEAR Protocol,1066799586.0000000000000000,,5721006035.0546856835432098,198064339.6673176148358790,5.3627748924292193,3.6247148617870270,5.2616122186354608,https://explorer.nearprotocol.com/
internet-computer,20,ICP,Internet Computer,462718826.7198381000000000,,5664438534.0305695139571232,76503654.7081461293635967,12.2416426713932074,-0.1386809417543550,12.1717619164041408,https://www.dfinityexplorer.org/#/
unus-sed-leo,21,LEO,UNUS SED LEO,926612138.9000000000000000,,5463142088.1122421716914680,299278.5120127714198000,5.8958240009651164,-0.8316524376867489,5.8779067397230375,https://eospark.com/account/bitfinexleo1
